year,state,number,gender,name
1910,AL,16,F,Tommie
1910,AL,87,M,Thomas
1910,AL,47,M,Tom
1910,AL,17,M,Tommie
1910,AL,7,M,Tommy
1910,AR,7,F,Tommie
1910,AR,50,M,Thomas
1910,AR,11,M,Tom
1910,AR,10,M,Tommie
1910,AR,5,M,Tommy
1910,AZ,9,M,Thomas
1910,CA,47,M,Thomas
1910,CA,5,M,Tom
1910,CO,14,M,Thomas
1910,CO,6,M,Tom
1910,CT,34,M,Thomas
1910,DC,20,M,Thomas
1910,DE,8,M,Thomas
1910,FL,39,M,Thomas
1910,FL,13,M,Tom
1910,FL,5,M,Tommy
1910,GA,13,F,Tommie
1910,GA,156,M,Thomas
1910,GA,53,M,Tom
1910,GA,15,M,Tommie
1910,GA,7,M,Tommy
1910,IA,30,M,Thomas
1910,ID,6,M,Thomas
1910,IL,131,M,Thomas
1910,IN,34,M,Thomas
1910,KS,28,M,Thomas
1910,KY,95,M,Thomas
1910,KY,10,M,Tom
1910,LA,70,M,Thomas
1910,LA,29,M,Tom
1910,LA,5,M,Tommie
1910,MA,119,M,Thomas
1910,MD,63,M,Thomas
1910,ME,5,M,Thomas
1910,MI,39,M,Thomas
1910,MN,18,M,Thomas
1910,MO,91,M,Thomas
1910,MO,10,M,Tom
1910,MS,6,F,Tommie
1910,MS,82,M,Thomas
1910,MS,46,M,Tom
1910,MS,33,M,Tommie
1910,MS,12,M,Tommy
1910,MT,11,M,Thomas
1910,NC,130,M,Thomas
1910,NC,20,M,Tom
1910,NC,8,M,Tommie
1910,ND,12,M,Thomas
1910,NE,13,M,Thomas
1910,NH,8,M,Thomas
1910,NJ,77,M,Thomas
1910,NM,11,M,Tom
1910,NM,7,M,Tomas
1910,NM,6,M,Thomas
1910,NY,335,M,Thomas
1910,NY,5,M,Tom
1910,OH,87,M,Thomas
1910,OH,6,M,Tom
1910,OK,48,M,Thomas
1910,OK,19,M,Tom
1910,OR,10,M,Thomas
1910,PA,259,M,Thomas
1910,PA,7,M,Tom
1910,RI,13,M,Thomas
1910,SC,110,M,Thomas
1910,SC,27,M,Tom
1910,SD,12,M,Thomas
1910,TN,12,F,Tommie
1910,TN,91,M,Thomas
1910,TN,13,M,Tom
1910,TN,10,M,Tommie
1910,TN,6,M,Tommy
1910,TX,15,F,Tommie
1910,TX,121,M,Thomas
1910,TX,37,M,Tom
1910,TX,23,M,Tomas
1910,TX,12,M,Tommie
1910,TX,10,M,Tommy
1910,UT,12,M,Thomas
1910,VA,129,M,Thomas
1910,VA,16,M,Tom
1910,VT,5,M,Thomas
1910,WA,13,M,Thomas
1910,WI,30,M,Thomas
1910,WV,29,M,Thomas
1910,WY,6,M,Thomas
1911,AL,14,F,Tommie
1911,AL,83,M,Thomas
1911,AL,29,M,Tom
1911,AL,18,M,Tommie
1911,AL,5,M,Tommy
1911,AR,53,M,Thomas
1911,AR,15,M,Tom
1911,AZ,5,M,Thomas
1911,AZ,5,M,Tom
